Blog	mathematics	religious	slide	yellow	thursday	reboot	updating	hundreds	son	cars	exploit	constraints	prove	economics	viewer	wave	representation	largest	axis	balance	girls	certification	profit	heart	mike	brand	builds	colleague	assigned	docs	accurate	neat	ultimately	scheduled	teach	fresh	mistake	rock	classic	dll	aspect	consulting	accessed	martin	destination	wired	explanation	lighting	mysql	recognize	fight	coverage	strings	malicious	purposes	legal	worst	lessons	fundamental	score	grab	vmware	mother	sports	eat	timeout	composition	increasingly	samsung	gadgets	managing	sum	explore	hence	gaming	ac	ex	criteria	announcement	dual	delay	highlights	besides	adjust	behaviour	feet	edu	screenshot	encourage	metadata	tcp	dc	flexible	famous	folders	breaking	usr	gold	src	generating	partners	mistakes	exam	europe	wild	tricks	hash	regardless	jump	speaker	relational	describes	town	sh	japan	hackers	collaborative	rotate	localhost	advantages	chat	meetings	appreciate	bluetooth	tells	planet	blur	usability	defense	firm	hell	vm	statistical	humans	partition	exercise	parties	massive	discover	administrator	centre	innovative	grant	limits	demonstrated	century	anonymous	supply	rails	nasa	vertical	bike	experiences	suppose	rates	everybody	raw	tim	refresh	publish	locations	keynote	repeat	discussions	registry	gnome	presenting	flat	technically	colleagues	brief	trends	contribute	crazy	pure	airport	underlying	argue	bright	doc	dos	chris	rafael	chinese	trivial	linear	somewhat	crowd	transition	shortcut	father	somebody	notebook	mount	zone	recorded	neither	planned	experienced	boss	revenue	computation	implementations	invoked	github	ray	stands	attended	widget	spectrum	retrieve	born	absolutely	congress	moves	providers	inc	affect	shopping	infected	toolbar	latter	smartphone	association	slower	vice	units	automation	statements	sidi	optimization	merge	switched	dangerous	annoying	suddenly	leader	hat	hasn	gadget	pressed	parents	entities	exposure	grand	wow	netbeans	intellectual	conclusion	vulnerability	ball	delivery	francisco	wizard	iso	titled	pen	rs	geek	millions	cat	blame	slowly	vehicle	highlight	continued	puts	fusion	skype	tabs	parsing	rise	conversion	whom	boost	buffer	edges	germany	fantastic	workflow	researcher	mainstream	clever	fear	container	strength	meanwhile	connectivity	funding	visualization	curve	scroll	listener	frameworks	boxes	remaining	upcoming	bind	essential	undo	dump	sold	roles	spaces	interpreter	throughout	browse	fake	comfortable	annual	ease	involves	continues	fortunately	newer	verify	beat	debate	brush	translate	fewer	recovery	safety	operate	approaches	granted	formats	bc	naturally	himself	aside	philosophy	la	pl	usa	suggestions	selecting	validation	assuming	explains	narocad	transparent	upper	highlighted	efficiency	brother	queue	battle	bindings	collections	immediate	codes	trial	trees	appeared	retrieved	largely	comparing	routing	connecting	ideal	heat	circuit	availability	tries	podcast	horizontal	dialogue	mozilla	scan	diagram	sorts	simpler	directions	mission	pt	pi	poster	cio	overview	corresponding	prepared	achieved	factory	switches	ports	compilation	init	declare	influence	intelligent	chip	situations	imho	studies	executable	obama	pointing	temporary	kb	dropped	publishers	screens	introduce	typed	camp	anyways	removing	fedora	washington	architect	richard	invalid	odd	cameras	xbox	candidate	lens	pin	hint	dave	downloading	lang	matrix	blackberry	additionally	laptops	filtering	thinks	surprisingly	concern	logs	admit	reverse	sec	season	combine	blogger	signed	declarative	foreground	executive	generator	limitations	analyst	causes	definitions	sides	owner	established	hacker	glad	cold	bet	luck	im	participants	tmp	medium	qt	schools	factors	ends	award	bean	widely	baby	posterous	uri	discipline	reliable	impressive	flag	threats	organized	compatibility	faith	def	viruses	beer	sharp	everywhere	nation	enabling	safari	arbitrary	handler	ssh	scientist	cc	blogged	pros	agent	alternatives	styles	extent	subjects	physics	demonstrates	represented
Ninja Software Development - Developing software in the Real World is different from all the theory	0	0	0	0	0	0	0	1	1	2	0	1	1	0	0	1	0	0	0	0	5	2	0	0	1	0	1	1	1	1	1	1	1	2	1	2	1	0	1	0	1	1	0	1	2	0	1	0	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	1	0	0	2	0	0	0	3	1	0	0	1	0	1	2	0	0	1	0	1	2	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	2	0	0	1	3	1	1	2	0	1	1	0	0	1	1	1	0	0	0	1	2	0	0	1	0	2	0	0	1	1	0	0	1	0	2	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	1	2	0	1	1	1	0	0	1	0	0	0	1	2	0	0	0	0	1	1	2	0	2	1	1	0	0	0	6	1	0	3	1	5	0	0	0	0	0	0	1	0	0	1	0	3	1	0	1	1	0	1	1	0	0	1	0	0	1	0	1	2	1	0	8	1	0	1	0	1	1	0	1	0	1	0	0	1	1	0	0	0	1	0	0	2	0	1	0	0	0	0	3	1	1	1	1	1	0	0	0	0	0	0	0	1	4	0	1	1	1	0	0	3	0	2	1	1	0	1	0	2	1	0	1	0	0	0	2	2	0	1	0	0	0	0	2	1	1	1	0	1	3	0	0	1	0	2	4	0	1	1	1	0	2	0	0	0	1	1	2	0	1	1	1	1	5	0	1	1	0	1	2	1	0	0	1	0	1	0	2	0	0	0	2	0	1	1	1	0	0	0	0	0	2	0	1	1	1	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	3	1	0	1	1	1	1	0	0	0	0	1	2	0	0	1	0	4	0	0	3	1	0	0	1	1	0	2	0	0	2	0	0	2	0	0	1	0	1	0	1	0	0	0	5	2	1	1	2	1	0	0	1	1	1	1	1	0	1	1	0	0	1	2	3	2	1	2	0	1	1	1	1	1	0	1	0	0	1	2	3	0	0	1	0	0	2	1	1	1	1	0	1	0	4	2	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	2	1	0	1	0	0
eclipser-blog - This is a blog of Eclipse enthusiasts from Poznan (Poland) who would like to share 	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	1	0	0	0	1	1	2	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	1	0	0	3	1	3	0	0	0	1	1	0	1	0	1	0	3	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	3	0	1	0	0	1	2	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	1	0	2	0	0	1	0	2	0	0	1	3	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	1	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	6	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	1	1	0	2	0	0	0	0	3	0	0	1	3	0	1	0	0	0	0	0	1	0	1	2	1	4	0	1	0	0	0	1	0	10	0	0	0	0	0	1	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Ruminations	0	1	0	0	0	0	2	0	1	0	1	1	1	2	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	2	1	0	1	1	1	2	0	1	0	1	0	0	1	0	0	2	1	1	0	1	0	3	0	0	0	1	2	1	0	2	0	1	1	4	1	0	0	1	0	0	0	0	3	0	0	0	1	0	1	0	2	1	1	1	2	0	1	0	0	0	0	1	3	1	1	0	0	2	2	0	1	0	1	1	1	0	0	0	0	9	1	0	0	0	0	0	2	4	0	0	0	1	0	0	0	0	2	1	0	4	0	0	2	1	1	1	0	3	0	0	2	0	2	0	1	0	0	0	0	1	1	1	0	2	1	0	0	0	0	0	0	1	1	0	1	1	1	1	0	1	0	1	2	1	0	1	1	1	0	0	0	0	0	1	1	1	0	1	0	1	1	0	0	1	1	1	0	1	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	0	2	0	0	0	2	0	1	1	2	0	4	1	0	0	0	1	1	2	1	0	0	1	0	1	1	2	0	0	0	0	1	3	0	0	1	0	0	4	0	0	0	0	1	0	0	2	0	1	1	2	0	0	0	1	0	0	0	0	3	3	0	1	0	0	2	4	0	0	1	1	0	0	0	2	1	0	2	3	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	2	0	0	1	0	1	1	0	0	0	1	0	0	0	1	1	1	0	1	1	2	1	0	0	0	1	0	0	1	2	0	1	1	0	0	0	1	3	0	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	3	1	0	0	0	0	2	1	1	0	2	1	1	0	3	1	0	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	1	8	0	0	1	0	0	0	1	0	0	0	3	0	0	1	2	0	1	0	0	1	0	1	0	0	1	0	0	0	1	2	0	2	1	0	1	1	0	1	0	1	0	1	0	0
Web Science and Digital Libraries Research Group - Research and Teaching Updates from the Web Scien	1	1	2	3	1	0	1	2	1	1	0	0	1	1	2	1	4	1	2	2	1	0	1	2	1	1	1	1	1	1	1	3	1	1	1	1	1	0	4	0	3	0	1	5	1	1	1	4	2	1	1	1	1	0	3	1	1	2	1	1	1	0	1	1	1	1	3	2	0	1	1	1	1	5	1	1	0	1	1	2	1	1	1	0	0	3	5	1	2	1	1	1	0	1	1	3	2	3	1	1	2	1	1	1	1	1	1	3	1	2	1	1	1	0	8	1	3	0	6	2	1	3	1	0	1	1	0	1	8	1	0	0	2	1	3	1	1	1	1	0	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	2	23	3	1	4	2	1	1	0	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1	5	1	0	1	1	0	1	0	1	1	1	1	0	1	1	1	0	4	1	1	2	2	1	1	1	1	2	2	1	1	1	0	0	1	2	0	2	1	2	1	1	0	0	5	1	3	0	1	1	0	3	1	0	1	0	1	1	2	1	0	1	1	0	1	0	2	0	1	2	0	1	1	1	1	1	0	0	1	2	1	2	1	1	3	1	0	2	0	0	9	1	1	2	2	1	1	1	1	1	0	1	1	2	1	2	0	2	1	1	2	0	1	0	1	1	1	1	0	1	3	1	1	1	1	1	1	1	3	1	2	1	1	2	2	2	1	3	3	1	1	0	1	1	1	1	2	4	2	2	1	1	1	0	0	1	2	1	6	1	1	1	1	4	1	1	1	2	2	2	1	2	1	2	1	2	0	1	1	1	1	1	1	2	2	2	1	2	1	6	3	3	0	1	1	1	1	0	0	0	0	0	0	1	1	0	2	0	1	1	4	3	4	1	1	1	1	1	1	12	0	1	1	1	0	1	1	1	4	2	1	0	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	2	1	1	1	0	2	1	2	1	0	3	1	1	1	1	2	3	1	1	1	0	2	1	2	0	1	1	2	1	0	1	1	0	5	2	3	1	1	2	2	1	1	0	1	0	1	1	1	1	7	1	0	0	1	3	1	0	1	1	3	1	1	2	1	1
ORA-00001: Unique constraint violated - Random ramblings and raves of relational relevance!	1	1	0	0	0	1	1	0	0	0	0	4	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	1	1	1	0	0	1	2	1	0	1	0	0	0	0	0	2	0	1	1	1	0	0	0	1	1	0	0	0	3	0	0	0	0	1	1	1	1	0	0	0	0	1	2	1	0	1	1	1	2	0	2	0	1	1	0	4	0	4	1	0	1	1	6	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	3	1	0	0	1	1	0	0	0	0	0	0	0	7	0	0	0	1	0	2	1	1	0	0	10	1	0	0	3	0	1	0	0	0	0	0	0	1	1	0	1	3	0	0	0	0	2	0	0	1	0	2	0	0	1	0	1	12	3	1	0	1	0	0	0	3	1	0	1	1	0	3	1	1	0	1	1	0	2	3	0	0	0	0	0	1	0	0	0	0	0	0	4	0	1	0	0	0	0	2	0	0	1	1	0	0	0	1	0	0	3	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	3	0	0	3	0	1	0	1	4	0	0	0	2	0	0	0	1	0	0	1	1	0	0	2	0	4	1	0	0	2	2	0	0	7	0	1	0	0	0	3	0	0	0	0	0	1	2	0	4	0	1	0	33	0	0	0	0	1	0	1	0	2	1	0	0	2	128	0	0	1	2	2	1	0	0	0	0	0	0	0	0	2	2	1	0	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	2	6	0	0	0	1	0	0	0	1	0	2	2	3	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	115	0	0	1	0	1	0	0	0	1	0	1	0	0	2	1	0	0	0	0	1	2	4	1	0	0	2	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	3	0	0	0	1	0	1	0	1	0	2	7	0	0	1	1	0	0	1	0	4	0	0	1	0
Mr.HinkyDink's UT Blog - UT99, IT Security, Miscellaneous Crap	0	0	0	2	1	1	0	1	0	0	2	1	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	2	2	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	2	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	1	0	0	1	0	1	1	1	1	1	0	0	0	0	1	1	0	1	0	0	1	1	0	0	1	0	2	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	1	1	0	1	1	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	1	1	1	0	2	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	2	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	2	3	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	2	2	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0
No Cropping Zone - Macro photography tips and tricks.	0	0	1	1	0	0	0	1	2	1	0	0	3	1	1	1	0	0	1	2	1	0	0	1	0	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	2	0	1	0	1	1	1	1	0	1	1	0	0	0	1	0	1	0	0	0	5	0	1	1	2	0	3	0	0	0	1	1	1	0	0	0	8	0	1	3	1	2	1	7	0	1	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	2	1	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	1	2	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	2	0	0	0	1	1	0	1	0	1	0	0	0	11	0	1	1	1	0	0	1	0	0	1	4	1	0	1	0	1	1	0	0	0	1	1	0	0	1	0	1	1	0	0	1	1	0	1	0	0	1	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	15	0	1	0	0	0	0	1	0	0	0	21	0	0	0	1	0	0	2	4	0	1	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	2	0	0	0	1	1	1	0	0	1	1	2	0	1	0	1	0	0	1	1	0	1	1	1	1	0	1	2	1	0	1	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	3	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	5	1	1	0	0	1	1	0	3	1	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	15	0	0	2	0	0	0	0	0	0	0	0	0	1	0	3	1	0	1	0	0	0	0	1	0	0	1	0	1	0	1	1	1	0	1	2	1	3	0	0	0	0	0	0	0	2	1	1	1	3	0	0	1	0	0	0	0	1	0	0	0	0	0	8	1	0	1	0	0	0	0	2	1	0	1	0	0	1	1	1	1	0	0
ClevelandDotNet - The ClevelandDotNet Blog is created to serve all .Net developers, both in Clevela	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0
Myryama	0	4	1	1	2	0	1	1	1	1	2	1	1	1	0	3	1	1	0	1	1	0	1	2	1	1	1	2	1	1	1	1	2	1	3	1	1	1	3	0	1	0	1	2	1	1	1	2	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	4	2	2	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	0	4	2	1	1	2	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	4	1	1	1	1	2	0	1	2	0	4	3	0	0	0	2	1	1	1	2	1	2	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	1	3	1	1	1	2	2	1	3	4	3	1	1	2	1	3	3	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	3	1	1	1	0	1	2	0	1	1	0	1	1	1	1	0	1	1	1	2	1	1	1	1	0	4	0	0	0	0	2	1	1	1	0	1	2	2	1	1	1	0	1	1	2	0	1	2	1	1	1	1	0	1	0	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	3	1	1	1	2	1	4	0	3	1	3	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0	1	2	0	0	1	1	1	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	2	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	3	1	1	2	2	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	3	2	1	1	1	0	1	1	2	1	0	1	1	1	2	0	1	1	3	1	1	1	1	1	0	1	0	0	1	1	1	3	1	0	1	0	2	1	1	1	1	1	0	1	0	1	0	1	0	2	0	1	0	1	1	0	2	1	1	1	1	1	0	0	5	0	1	0	3	1	1	1	1	1	2	4	1	1	2	0	1	1	2	0	0	1	1	1	2	2	0	1	2	1	1	1	0	0	1	0	2	0	1	2	2	1	1	1	0	0	1	2	1	1	0	1	2	1	1	1	1	1	3	0	2	1	1	0	1	1	1	1	1	1	0	1	1	2	1	1
Early Indications - Early Indications is the weblog version of a newsletter I've been publishing si	0	3	4	0	1	0	1	1	1	5	2	2	3	2	4	2	1	1	2	2	2	1	9	2	3	3	3	3	1	1	1	0	1	3	1	2	2	1	1	0	1	3	1	2	4	3	2	1	3	3	2	1	1	0	1	5	3	2	1	2	1	0	1	1	1	0	1	1	7	1	8	3	1	1	1	0	2	2	1	3	1	1	1	1	0	2	1	0	1	2	1	1	2	1	0	1	0	1	0	4	2	1	0	2	1	1	0	4	1	1	4	1	2	0	7	3	4	1	0	2	1	1	1	2	3	1	0	1	1	6	1	0	1	1	0	5	8	6	1	0	0	1	1	2	3	3	1	12	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	2	1	0	2	1	2	3	1	3	3	1	1	2	2	2	1	0	1	3	0	1	2	1	1	1	4	0	1	1	1	3	3	4	6	1	2	1	12	1	2	1	0	3	1	3	1	2	0	2	1	3	1	12	1	1	4	1	2	3	1	5	3	2	5	2	1	0	1	1	2	2	1	1	4	2	1	1	1	1	1	2	2	1	0	3	4	0	2	1	3	1	0	1	1	0	1	2	2	1	1	8	2	1	3	2	1	0	0	1	1	1	1	1	0	2	0	1	1	4	3	4	1	2	1	2	2	1	1	1	2	1	9	1	3	0	5	1	2	9	2	2	0	1	1	1	1	1	2	5	3	1	1	1	1	4	1	4	7	4	2	1	2	1	2	0	3	1	2	1	1	0	2	1	0	1	2	3	0	2	2	1	1	1	2	7	0	1	2	2	1	1	3	0	3	3	0	3	2	4	3	2	2	0	1	1	0	1	0	1	1	2	1	0	1	1	2	1	0	1	1	3	3	2	0	0	1	4	1	1	2	0	4	1	8	1	1	0	1	2	1	1	0	1	0	1	0	2	1	1	0	1	5	1	1	4	3	1	2	1	0	0	1	0	1	3	0	3	3	1	2	1	3	1	1	1	2	0	0	1	1	1	1	2	4	4	2	1	1	0	1	1	1	1	1	0	6	0	3	1	1	2	1	2	2	0	0	2	5	1	1	1	2	2	2	0	2	1	3	1	1	1	1	2	0	0	1	1	0	1	2	3	0	5	0	2	1	3
Really Simple Sidi (RSS)	0	0	1	2	1	0	0	1	2	2	1	1	1	1	1	13	1	1	0	1	2	2	1	1	1	1	1	2	1	0	2	1	2	1	2	1	1	1	1	0	1	0	1	1	1	3	1	0	0	1	2	1	0	0	1	2	1	1	1	1	0	0	3	1	1	3	0	1	1	0	1	1	1	1	1	1	2	2	1	0	1	1	1	0	1	1	0	0	1	1	0	0	1	1	0	1	0	0	1	1	1	1	1	2	3	1	0	1	1	1	0	1	1	0	1	1	1	0	0	1	3	3	1	0	0	2	0	1	3	1	1	0	2	1	0	2	1	1	1	1	1	2	2	1	1	1	0	1	0	4	2	1	1	1	0	0	1	1	0	1	0	1	1	2	0	0	1	0	0	1	1	2	1	1	1	1	1	0	1	4	0	1	13	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	2	2	0	1	0	0	1	1	1	3	1	1	2	1	1	1	1	2	1	1	0	1	1	0	1	1	1	1	0	1	46	0	0	1	1	0	0	1	1	1	0	0	2	1	1	1	0	0	1	1	0	4	1	1	0	0	3	0	0	1	1	1	1	1	1	0	1	1	3	3	0	0	1	2	1	1	0	0	1	0	3	2	1	2	1	1	0	1	1	2	1	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0	1	1	0	1	3	1	0	1	0	1	0	1	1	0	1	2	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	2	3	1	1	1	1	0	0	1	1	1	4	1	5	1	1	0	1	1	1	0	0	1	0	1	1	1	1	1	0	1	0	1	0	0	0	1	7	1	1	1	1	0	0	0	1	1	1	0	0	1	0	1	0	0	1	2	1	0	0	0	0	0	1	1	0	1	0	0	1	1	0	1	1	2	0	0	1	2	1	1	1	1	2	2	1	0	1	1	2	1	1	1	0	1	0	1	1	1	1	0	1	1	0	0	2	2	1	1	0	1	0	1	0	0	1	1	0	1	1	0	0	0	0	1	2	1	0	3	1	1	1	2	1	1	1
