mem	days	uri
2454	1	a-thousand-broken-dreams.tumblr.com/
2451	11	www.impressionevergreen.com/
2443	0	Babyscumbag.is.the.Bomb.com/
2416	38	www.LoraSeversonPhotography.com/
2407	0	www.mtv.com/news/1939244/jon-bellion-luxury-music-video/
2395	1	laceyxxo.tumblr.com/
2359	147	www.ZabalaalDia.com/
2359	0	soundcloud.com/alviano-irwansyah-putra/
2353	2	glennwoodsrabbitry.weebly.com/
2351	0	favstar.fm/users/kaytaa/recent
2342	0	www.jesusfreakhideout.com/indiemusic/More.asp
2325	2	Smarturl.it/AdoreYou
2315	0	www.amazon.co.jp/%E5%85%AD%E7%95%B3%E9%96%93%E3%81%AE%E4%BE%B5%E7%95%A5%E8%80%85-17-HJ%E6%96%87%E5%BA%AB-%E5%81%A5%E9%80%9F/dp/4798608939
2297	58	www.fathippyrecords.co.uk/
2294	0	up-follower.com/ycC4/index.html
2276	121	www.cosp.jp/prof.aspx
2268	47	mcavoy.ca/
2268	5	www.motorclubofamericajob.com/
2261	0	boilingpointband.wix.com/boilingpointband
2253	0	instagram.com/peyton.phillips_
2233	0	twitter.com/tyleroakley/status/479739523526823936
2232	5	www.nothingshowing.com/
2231	0	faisaltreshah.wordpress.com/
2152	12	www.forestryimages.org/browse/autthumb.cfm
2116	0	www.soundcloudmusicplays.com/
2107	157	www.FuckAllYall.com/
2078	0	www.paulmoana.com/
2076	2	characterjapan.com/
2073	0	psycho-delica.tumblr.com/
2072	0	Instagram.com/sammytbabyy
2063	0	www.thetimesnews.com/lifestyles/lifestyles-home/tweetsie-railroad-offers-halloween-festivities-1.374828
2034	0	mommacan.com/2014/08/the-great-outdoors-day-three-what-color-is-your-thumb/
2029	0	www.zazzle.com/country_sunflower_wedding_square_ornament-175047049032573013
2024	2	www.forbes.com/sites/jonfortenbury/2014/09/16/a-specific-form-of-baldness-linked-to-aggressive-prostate-cancer/
2021	0	www.fitnessb2be.com/
2004	16	www.jelangsukses.com/
2001	0	twitter.com/makori_lily
1999	0	soundcloud.com/whitecactus
1993	166	thebrightsideproject.com/
1988	0	www.theguardian.com/business/2014/sep/22/tesco-turmoil-may-lead-back-drawing-board
1976	0	dkrennie.avonrepresentative.com/
1973	4	whamdeals.com/
1969	0	www.youtube.com/user/YungIconsMusic
1958	0	itunes.apple.com/us/album/ii/id909084727
1944	113	www.icsny.org/
1939	14	palcomp3.com/nandocosta/
1937	35	www.catchingthemagic.com/
1936	0	whosestreets.tumblr.com/
1934	1	www.teamrichmond.net/
1934	0	www.getscreening.com/free-movies-screening-tickets/tt3169706/Pride/highlight/174224/response/tweetNY/
1929	671	www.sopitas.com/site/
1926	3	nintendofreeradio.podbean.com/
1922	0	twitter.com/Jay_Halstead
1896	0	whamdeals.com/all-departments/10-00-to-50-00/garden-of-life-primal-defense-ultra-ultimate-probiotics-formula-90-vcaps
1887	219	Foxy99.com/
1865	121	www.rideabike.com/
1865	2	rebelhideout.blogspot.com/
1865	1	TheHalloweenHaunt.com/
1865	0	open.spotify.com/artist/1NhhZ0sjJ3j3XyodGi7tml
1864	0	www.netflix.com/nmhome
1856	57	riodejaneiro.angloinfo.com/
1854	0	gardensketchapp.com/
1846	0	geeknation.com/podcasts/the-movie-crypt-ep-70-producer-nick-phillips/
1846	0	secure.clubtix.com/goldie-[at]-oak-lounge-tickets-324732
1835	1	fuck-thatsdelicious.tumblr.com/
1830	1	favstar.fm/users/Fyrekrakr73
1824	0	ask.fm/brunettenations
1805	0	cargocollective.com/Jbolois
1787	165	www.GrowingAGreenerWorld.com/
1787	0	www.mojahedin.org/newsen/30892
1782	23	nobtaka.com
1775	2	soundcloud.com/djcomebackmusic
1751	0	lilraisinacres.blogspot.com/
1743	5	madhuriblaylock.wordpress.com/
1739	131	www.jerretokybal.com/
1731	0	www.reverbnation.com/page_object/page_object_photos/artist_2970591
1727	14	www.CassetteCoast.com/
1724	2	socialyesworking.wordpress.com/
1721	2	twitter.com/heric_lily
1721	0	twitter.com/cozybucky/status/504155955572269056/photo/1
1720	244	www.daraysh.com
1710	0	adf.ly/sHo8F
1703	0	vine.co/v/MY5bK6HZL3D
1695	0	theblackcathorrorblog.com/
1686	0	www.designntrend.com/articles/19288/20140910/jennifer-aniston-loved-every-minute-playing-disabled-woman-new-movie-cake.htm
1683	0	www.blogher.com/myprofile/womantrek
1666	2	31.media.tumblr.com/636b6113a8230f379c3d811e416ee8de/tumblr_mwkivbMeZ11qjvnrno1_250.gif
1662	14	jasonharrispromotions.org/
1654	6	incontinuity.blogspot.com/
1650	0	www.TheSuperiorPromo.com/
1649	0	rocketnews24.com/2014/09/23/489633/
1647	7	totonae.blog66.fc2.com/
1633	0	www.damnwelove2pmjjang.blogspot.com/
1629	0	www.calendar.theg2gallery.com/cheetah-conservation-fund-meet-greet-dr-laurie-marker-meet-cheetah/
1621	24	www.robbornstein.com/
1620	131	paleo.com.au/
1618	0	vine.co/v/MPOLErMKxPT
1614	2	brownbuiltperformance.com/
1607	2	thereplacementbloggers.blogspot.com/
1601	0	twitter.com/BMobzz
1593	70	www.superhero.x-y.net/
1591	2	satans-flaming-right-breast.tumblr.com/
1584	0	instagram.com/niesy
1580	0	anthonybialy.tumblr.com/
1575	24	coisadevelho.com.br/
1566	0	instagram.com/meninadamileyc
1564	2	www.houldingfirearms.com/
1553	30	boxdetox.com/
1552	25	soulsistalesbo.tumblr.com
1526	209	www.orchard.co.uk/
1525	1	www.yfarber.com/
1524	0	fiebreradio.com/web/
1524	0	itunes.apple.com/us/album/problem-voice-performance/id920164442
1513	0	www.wattpad.com/user/ForeverFaithYoung
1497	3	e-stranged.weebly.com/index.html
1491	0	path.com/p/1xbTsc
1488	32	www.beyondtheblue.jp/
1486	0	www.tups4.com/podremos-elegir-entre-el-audio-original-e-ingles-en-final-fantasy-type-0-hd/
1484	7	maubox.net/
1480	4	TheFoxFlare.com/
1471	0	2014sp.yurugp.jp/vote/result_ranking.php
1465	8	lindseywashburn.com/
1460	1	huzieyanuar.tumblr.com/
1456	411	untappd.com
1450	5	CountlessThousands.Bandcamp.com/
1444	0	paleohackscookbook.rsscb.com/shooteruk/cbfeed/09231403/paleohacks-cookbook.php
1440	7	ownedswiftstars14.deviantart.com/
1440	0	instagram.com/jessrobsten
1429	64	www.tofighthiv.org/site/TR
1427	1	thebestjonathan.tumblr.com/
1425	1	lilielily.tumblr.com/
1423	0	www.pinterest.com/pin/176977460332311967/
1418	91	www.lakupo.com/grblitz/
1418	0	papatone57.tumblr.com/post/98189560818/paleo-diet-before-after-pictures
1400	0	instagram.com/katie_alene8400
1398	0	almatra.see.me/
1388	8	favstar.fm/users/cassvince
1379	0	duderr.bandcamp.com/
1378	29	www.squidkidsink.com/
1378	9	blogs.yahoo.co.jp/kurage_e
1378	0	ask.fm/CarleRusherLoka
1366	3	gam365.net/
1355	0	sirhellsing420.tumblr.com/
1354	2	www.beastbox.com.au/
1354	0	novostit.com/yuzhnaya-koreya-samsung-gotovit-k-vypusku-smartfon-galaxy-a5-sm-a500f-v-dizajne-galaxy-alpha.htmlinstagram.com/moraesind
1344	13	collectle.com/
1333	0	soundcloud.com/thezencynic/sets/revenge
1329	0	ankasa-ichiro.blogspot.com/
1317	12	words.spangaloo.com/
1317	0	jenndonuts.tumblr.com/
1310	0	ameblo.jp/maeky-1968
1297	0	followback.me/anikewomen
1295	12	www.lonelyplanet.com/usa/new-york-city/travel-tips-and-articles/76899
1284	0	verusirae.tumblr.com/
1279	20	georgiegeorge.com/
1278	0	www.teknolojimarketi.org/samsung-galaxy-a7-resimleri-ortaya-cikti.html
1272	0	twitter.com/ninnjinnjinn
1268	0	ask.fm/libteen2016
1262	0	easyhealthydietrecipes.com/reviews/
1244	1	curiosidades.batanga.com/5978/35-grandes-frases-de-albert-einstein-para-reflexionar
1237	3	codenameloki.tumblr.com/
1237	1	lilyevansbot.blog.shinobi.jp/
1221	1	xxprojectalicexx.deviantart.com/
1220	9	www.jerseyjimmakesascene.com/
1218	0	phoebeduffield.tumblr.com/
1210	0	www.psyourebeautiful.com/
1207	1	lydiambowers.wordpress.com/
1201	8	thelionwords.wordpress.com/
1198	0	all-gothic-world.blogspot.com/
1182	20	8106.tv/site/
1179	4	du3a.org/
1169	0	itura2.sitemix.jp/itura.php/toppaidapplications.html
1169	0	www.fanfiction.net/u/4021340/
1162	1	www.everyonemovesaway.com/
1162	0	soundcloud.com/miguel-calderon-14
1162	0	yaplog.jp/mattaririri-n/
1149	1	lunarwastelands.tumblr.com/
1147	0	instagram.com/p/tRNb6SRcBn/
1147	0	vine.co/v/MYz6nWYIKFM
1142	2	heart-knows-no-shame.tumblr.com/
1139	2	bornonthefrozentundra.tumblr.com/
1138	35	www.duomusicexchange.com/access/
1134	4	unegastro.com/
1134	0	ainianggraini94.wordpress.com/
1134	0	vine.co/v/OWAwahJiLpY
1127	4	twilog.org/lion_sixteen
1127	0	www.ThatsPol.com/
1126	0	www.kimsng.com/
1119	0	soundcloud.com/mulamillz/oh-lord
1118	33	www.perroflaco.net/
1118	1	gingerontherun.com
1115	0	g1.globo.com/am/amazonas/musica/noticia/2014/09/festival-am-de-musica-tem-oficinas-e-workshops-ate-proximo-domingo-28.html
1110	0	tu2dm.blogspot.com/2014/09/michael-jackson-immortal-tour-wraps.html
1102	99	gashouseradio.com/
1101	301	www.silbermedia.com/
1094	0	adf.ly/rQHSG
1092	117	www.perfectgame.org/College/Default.aspx
1084	0	ask.fm/sita_azka
1083	2	pinecastle.nsf.jp/twitter/bots.html
1072	0	sunsetsandwine.com/
1071	33	jumps.2fear.com/
1071	0	path.com/p/eUtPN
1065	4	please-myself.tumblr.com/
1063	4	matthewbrucems.tumblr.com/
1057	2	www.morganbaskin.ca/splash
1052	0	www.barelist.com/gal_25727_tgp/emily-grey-092214.html
1051	0	caitlinxcx.tumblr.com/
1024	0	charlotteofoz.tumblr.com/
1023	0	www.earcandyradio.org/
1021	0	twitter.com/eBooks_Central
1017	3	www.game-insight.com/en/games/mystery-manor
1013	0	www.harpersbazaar.com/celebrity/news/angelina-jolie-directing-new-movie
1007	0	lupello.tumblr.com/
1006	0	twitter.com/crazy_foxer/status/457486315676643328
1004	0	www.galaxytabs-shareittowinit.com/
998	1	www.dailymail.co.uk/news/article-2765134/Oh-dear-Hilarious-reaction-green-fingered-pensioner-contacted-BBC-phone-mystery-5ft-plant-garden-told-CANNABIS.html
998	0	gitsnews.blogspot.com/
995	0	www.computerandvideogames.com/477301/final-fantasy-type-0-hd-trailer-shows-off-new-visuals/
994	10	www.kaskus.co.id/thread/51ebe5254f6ea10a28000008/rotten-kaskus-superhero-movie/
992	0	www.scmproductos.com/
990	0	charruashop.com/
986	117	www.youtube.com/user/jahovaswitniss
971	1	amyreid.myzija.com/
966	2	rocketnews24.com/2014/09/22/489473/
966	2	www.youtube.com/user/ThePrankists
960	15	www.shopbenchmark.com/jasonellis
960	2	racismradar.blogspot.com/
956	0	100q.me/miyu11ypaaa
953	44	www.IResolveTo.Com/
951	0	soundcloud.com/user221093810/sets/meh
951	0	www.youtube.com/user/customizethedroid
948	0	ronineducacion.com/espacio/2014/09/18/cheetah-el-robot/
947	3	peace-ofgreen.blogspot.com/
944	8	teamphenomenalhope.org/
931	587	twitchy.com/
930	17	www.goldendawn.co.nz/
924	0	Instagram.com/hydrohsss
917	0	informal-madness.tumblr.com/
913	0	elmangolibre.tumblr.com/
908	8	www.julianchambliss.com/
904	48	get.paleorecipebook.com/
902	898	www.nick.com/amandaplease/
885	20	www.guinnessworldrecords.com/news/2014/9/jennifer-lawrence-game-of-thrones-frozen-among-new-entertainment-record-holders-in-guinness-world-records-2015-book-60021/
882	1	asshole-superficial.tumblr.com/
872	4	thedarkafterglow.bandcamp.com
848	0	m.online-shop.mb.softbank.jp/ols/html/smp/model/iphone/index_u02_201409.html
844	0	prize21914.blogspot.com/
840	0	ask.fm/iamtheutg/answer/119036468895
840	0	instagram.com/lucas_guelardi
839	264	www.Goldblum.com/
839	1	www.buzzfeed.com/andrewziegler/are-you-a-hero-or-a-villain
833	19	americanhottickets.com/
827	0	ficsariologix.tumblr.com/
826	0	www.eluniverso.com/noticias/2014/09/21/nota/4007436/pacientes-cancer-piden-morfina-otros-paliativos-ante-dolor
825	31	excerebration.com/
823	0	au.ibtimes.com/articles/567081/20140922/joe-manganiello-fitness-low-carb-paleo-diet.htm
819	15	www.dianegatterdam.com/
812	0	ask.fm/adelaidewaldorf
812	0	news.distractify.com/alex-scola/extreme-weather-sports/
799	0	soundcloud.com/allday089
798	3	tu2dm.com/
793	52	somafm.com/digitalis/played
792	4	everythingwrongwithfrozen.tumblr.com
789	114	www.bankmecu.com.au/
789	0	itunes.apple.com/jp/app/final-fantasy-world-wide-words/id900312607
784	0	twitter.com/thatwasclose_/status/501464642494144512/photo/1
780	0	cfile3.uf.tistory.com/original/2538BF4D54204F751E96EC
775	0	muscleandhealth.info/
771	1	twitter.com/joseluissantos
770	0	alohasunnyy.tumblr.com/
767	98	SomaFM.com/digitalis/
766	383	www.soundhound.com/
765	0	www.etsy.com/listing/183341670/tropical-red-18x18-pillow-cover-hawaii
760	0	alwaysbeog.wix.com/alwaysbeog
754	1	juliedible.wordpress.com/
754	0	Instagram.com/xxyessenia
749	0	m.soundcloud.com/deep-sea-gypsies
743	0	soundcloud.com/FBOTnation
743	0	www.youtube.com/user/TheOmniPuss
736	0	www.tripodbroadcasting.com/frozenpizza/
733	86	www.seanhiggswins.com/
733	0	needtocheck.com/site/post/902
730	0	maverickwolf.thebase.in/
728	0	www.youtube.com/user/TheCrysisMLG
727	3	bigshowbooking.com/
722	0	29kgold.tumblr.com/
709	1	holdmycrown.tumblr.com/
708	1	www.scientificamerican.com/article/quantum-entanglement-creates-new-state-of-matter1/
702	0	ask.fm/misconcxption
701	1	www.teknolojimarketi.org/
693	0	prettylittlejen.blogspot.com/
693	0	TheFPIA.spreadshirt.com/
689	4	juju-azevedo.tumblr.com/
686	0	twitter.com/allarsky
685	22	theindiansubcontinent.com/
684	0	ask.fm/dafuqxgeneva
681	0	insubcontinent.com/
674	0	finalfantasy.wikia.com/wiki/Vincent_Valentine
673	0	aproductofwar.tumblr.com/
664	4	sammestas.com/
653	4	www.thunter.ca/
641	0	instagram.com/nicolejaylisterud
641	0	nevertoomuchtv.tumblr.com/
638	5	www.etsy.com/shop/PetitChatVintage
634	577	main.acsevents.org/site/TR
629	1	kawaii-ordie.tumblr.com/
628	0	open.spotify.com/artist/6nFTyqoEfocfQ2JQBkXTDh
627	38	www.mixcloud.com/HIPSTERCAST/
624	0	instagram.com/teetoizzo
620	20	MixtapeAffiliates.com/
620	0	ask.fm/intanayuL/answer/118168417001
619	606	www.youtube.com/user/Macbarbie07
618	11	www.seether.com/tour-dates/
618	0	fuck-thatsdelicious.tumblr.com/post/98188195194/sognarr-space-ghost-coast-to-coast
609	0	porkfriedriceandkool-aid.tumblr.com/
606	0	ask.fm/viennechiam
603	0	vine.co/v/O7BTVZudA6M
602	0	princess-tierra.tumblr.com/
600	3	favstar.fm/users/emmatheist
592	0	www.cnet.com/news/cnets-price-the-device-challenge/
579	0	com.nicovideo.jp/community/co2266297
577	0	cha-hakyeon.flavors.me/
577	0	con-queror.tumblr.com/
564	0	soundcloud.com/bangem-bars
564	0	www.radiomundial.com.ve/article/consulta-la-programaci%C3%B3n-del-festival-de-teatro-los-teques-2014-guaicaipuro-en-escena
552	13	smugfilm.com/
550	0	xeeme.com/WilliamSpicer
543	0	steamcommunity.com/id/FullStrSarcasm/
538	8	julianmontes.wordpress.com/
534	13	galileo908.blogspot.com/
533	0	legioncomic.blogspot.com/
530	4	open.spotify.com/user/spotify_mexico/playlist/3ObsPK8RisBSIY19fgpk9b
527	8	kellysmithreviews.wordpress.com/
517	0	instagram.com/nephy_sounique
511	0	www.pipsheet.com/account.php
506	4	winmusic.co/
505	0	siempreantesydespuesdeti.blogspot.mx/
502	0	james-aiken.artistwebsites.com/featured/partial-eclipse-of-the-sunflower-bw-james-aiken.html
500	14	onedrive.live.com/redir
496	0	500px.com/photo/83829331/sunflower-by-andreas-mueller
495	0	ask.fm/AloneHolden
494	2	soundcloud.com/most_dope_sean
494	0	only-maryssa.tumblr.com
489	0	liquidhelloepk.tumblr.com/
488	0	paper.li/blurboi/1410817179
487	0	twitter.com/toodopewithhope/status/487868085248868352
486	144	devilzc0de.org/forum/
474	31	www.christinagonzalez.net/
471	0	instagram.com/_alyanna1010
462	0	www.jrn.com/nbc26/wi-sports/green-bay-packers/Aaron-Rodgers-surprises-girl-who-helps-battle-cancer-her-neighbors-275908551.html
455	0	instagram.com/p/tROfqPRlfw/
453	0	soundcloud.com/yungkarim
438	0	soundcloud.com/hiriseyuyake
430	0	www.pinterest.com/pin/457185799646156071/
429	0	effy-in-the-sky-with-diamonds.tumblr.com/
429	0	francoisboulaire.tumblr.com/
428	0	instagram.com/patrickmcosta
425	0	www.tenuto.fm/
420	0	Instagram.com/azucenalvarez
412	0	www.businessinsider.com/iphone-6-display-vs-samsung-galaxy-note-4-comparison-2014-9
412	0	www.YouTube.com/user/JuhstSnipes
405	0	id28.fm-p.jp/307/ideafw/index.php
402	0	instagram.com/p/hqmJtHpyBw/
402	0	soundcloud.com/kxwxb
398	0	instagram.com/p/tRMgSjrlLS/
391	0	www.androidcentral.com/go-big-or-go-home-6-inch-galaxy-mega-2-now-listed-samsung-thailand
390	0	nyaaaaansuke.blog.fc2.com/blog-date-201201.html
389	0	tipsandtricks.met001.biz
379	7	actualidad.rt.com/ciencias/view/32388-Cuba-lanza-primera-vacuna-contra-cancer-de-pulm%C3%B3n
370	0	Instagram.com/lily_jan2nd
369	0	twitter.com/taylorcaniff/status/510163103808380928
364	943	www.asco.org/
363	0	m.thehungersite.greatergood.com/clickToGive/ths/home
362	11	mikedogg36.wordpress.com/
362	0	www.lesismoresocial.com/
359	0	superherostoryblog.blogspot.com/2014/09/a-lot-of-fight.html
355	0	www.andrewparkerimages.com/
354	0	path.com/p/19FzkP
352	0	FaithBased92.wordpress.com/
347	0	instagram.com/alwayswithselenag
344	0	Instagram.com/phxntomess
343	2	www.k-popstuffs.blogspot.com/
340	0	www.pinterest.com/pin/436919601323260775/
339	4	theuniversebuilders.com/
334	0	ameblo.jp/fairies-119/
330	1	www.orangestar.cl/
327	12	tropicomx.com/
322	0	www.lifeinabreakdown.com/the-most-happy-of-flowers-competition/
315	80	styleandfashionreviews.com
312	0	giving-up-the-ghost.tumblr.com/post/98188205278/ultrafacts-source-if-you-want-more-facts
308	0	camcassidy.blogspot.com/
307	29	malikaziz.com/
305	0	kaneggi.co.vu/
305	0	www.etsy.com/shop/FlashinFashinJewelry
296	0	a-thousand-broken-dreams.tumblr.com/post/98188189723/cada-quien-tiene-su-paraiso
294	4	www.lipsapp.com/radio-page
293	0	twitter.com/Hersh331
292	0	www.etsy.com/listing/171435287/azalea-wolf-totem-dreamcatcher-native
289	2902	www.foxnews.com/on-air/personalities/heather-childers/bio/
285	2945	www.wfmz.com/
285	0	www.bandsintown.com/event/8607389
280	20	www.ALLOUTHUSTLE.com/
276	0	prize34979.blogspot.com/
269	0	nomochifamily.jpn.ph/
268	28	www.gotrimax.com/
262	0	www.etsy.com/listing/199897973/baby-blue-lily-and-silver-butterfly
261	0	charlesreid1.github.io/imaginary-friends/
253	1	ameblo.jp/kotatakada/
247	0	Instagram.com/ImLightning23
246	0	www.ebay.com/sch/acetrader12014/m.html
241	487	www.amonly.com/
232	304	www.onedirectionmusic.com/
231	0	soundcloud.com/miguel-calderon-14/desespoir
230	4	neverusa.com/
225	0	www.movies.com/movie-news/a-most-violent-year-trailer/16819
224	1	www.scientificamerican.com/article/einsteins-time-dilation-prediction-verified/
224	0	trendzone.co/
222	116	www.getscreening.com/
220	0	instagram.com/girlchloe
219	0	jrwolfmusic.com/product/so-tired/
218	562	kfjc.org/
218	504	www.hbo.com/game-of-thrones
217	63	www.bggarden.com/
217	4	sayasamax3.tumblr.com/
213	0	ow.ly/i/6Ra3P
211	0	lob.flavors.me/
210	1	soundcloud.com/floridaedmfamily
207	0	neptunefestival.com/events/boardwalk-weekend/
203	31	www.pushpowerpromo.com/
202	0	instagram.com/laura_ansa
202	0	sportsmanslifestyle.com/jeff-boswell-republic-ranches-increasing-return-enhancing-land/
200	0	vine.co/v/OadPBaau3Ob
193	8	r.gnavi.co.jp/area/aream2166/yakitori/rs/
192	0	itunes.apple.com/us/book/spointra-secret-business-success/id885611460
191	0	www.digitalspy.co.uk/music/news/a598366/simple-minds-announce-new-album-big-music-new-uk-tour.html
183	1	pinklipstick-and-greenarrows.tumblr.com/
179	16	kalfestino.wordpress.com/
177	4	cassieshouseofhorror.blogspot.com/
176	4	www.officialjasonellis.com/
175	4	www.OfficialJasonEllis.com/
173	14	www.r5rocks.com/home
166	12	queencaveat.com/
166	4	fite.me/irl/
165	17	au.mtvema.com/vote
164	0	www.rollingstone.com/music/news/dave-davies-kinks-reunion-ray-and-i-both-want-to-do-something-next-year-20140922
163	0	www.judomca.com/
162	19	www.TheHighwayMonitor.com/
158	218	www.pcsaudavel.com/
158	1	bokimu.blogspot.com/
156	0	www.zap2it.com/blogs/maze_runner_box_office_opening_weekend_dylan_obrien_teen_wolf-2014-09
154	3	www.etsy.com/people/TheBerryPress
154	0	music-tubes.com/musictube.php
153	0	www.nomadicchick.com/blogstock-worlds-first-blogging-festival/
